record_type,task_name,difficulty_label,difficulty_order,train_count,stage,split_count,source_count,split_seeds,mean_probe_bit_accuracy,mean_probe_bit_accuracy_std,mean_probe_exact_accuracy,mean_probe_exact_accuracy_std,majority_vote_bit_accuracy,majority_vote_bit_accuracy_std,majority_vote_exact_accuracy,majority_vote_exact_accuracy_std,direct_pairwise_agreement,direct_pairwise_agreement_std,majority_fraction_agreement,majority_fraction_agreement_std,unanimously_same_prediction_bit_fraction,unanimously_same_prediction_bit_fraction_std,mean_prediction_entropy_bits,mean_prediction_entropy_bits_std,mean_pairwise_prediction_bit_hamming_distance,mean_pairwise_prediction_bit_hamming_distance_std,mean_pairwise_error_phi_correlation,mean_pairwise_error_phi_correlation_std,mean_pairwise_joint_error_lift,mean_pairwise_joint_error_lift_std,mean_pairwise_error_jaccard,mean_pairwise_error_jaccard_std,prediction_one_rate,prediction_one_rate_std,mean_train_steps,mean_train_steps_std,mean_train_fit_step,mean_train_fit_step_std,pilot_steps,pilot_steps_std,model_count,model_count_std,probe_count,probe_count_std
aggregated_summary,random_bits,fixed random,0.0,100,plateau,1,1,[],0.4994583333333334,,0.0,,0.49959333333333333,,0.0,,0.8627834736842105,,0.906117,,0.5574133333333333,,0.2908841155293907,,0.13721652631578948,,0.7255681469305084,,1.7239999768355077,,0.7589138909113312,,0.514059,,3100.0,,100.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,200,plateau,1,1,[],0.4992203333333333,,0.0,,0.4996333333333334,,0.0,,0.8198005263157894,,0.876015,,0.43312666666666666,,0.3801552152480637,,0.1801994736842105,,0.6396016615392548,,1.6376084043087,,0.6950351878836631,,0.49702033333333334,,3100.0,,100.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,300,plateau,1,1,[],0.4989776666666666,,0.0,,0.4992066666666667,,0.0,,0.8020198947368421,,0.8633416666666667,,0.38534,,0.4165649623973938,,0.19798010526315787,,0.6040399886922293,,1.601576246369991,,0.6700424126370927,,0.5066103333333334,,3100.0,,100.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,400,plateau,1,1,[],0.49995666666666666,,0.0,,0.4996733333333333,,0.0,,0.790110105263158,,0.8548253333333332,,0.35298666666666667,,0.44101026504476953,,0.2098898947368421,,0.5802216305041548,,1.5801230966658577,,0.6530722800047378,,0.5062553333333333,,3100.0,,100.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,600,plateau,1,1,[],0.49891566666666665,,0.0,,0.4981066666666667,,0.0,,0.7381725263157894,,0.8175223333333334,,0.22031333333333333,,0.5466083889583265,,0.2618274736842105,,0.4763439265238411,,1.4742939990431458,,0.5860123613929172,,0.5034483333333334,,3100.0,,115.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,800,plateau,1,1,[],0.4994949999999999,,0.0,,0.4996466666666667,,0.0,,0.7165329473684213,,0.8011563333333334,,0.17631333333333332,,0.5889280112355422,,0.28346705263157895,,0.43306763307128715,,1.432162355134689,,0.5589256622965534,,0.49777366666666667,,3800.0,,100.0,,3800.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,1000,plateau,1,1,[],0.500373,,0.0,,0.5006666666666666,,0.0,,0.7039744912280702,,0.7916003333333334,,0.15301333333333333,,0.6132494224400183,,0.2960255087719298,,0.4079506249731264,,1.4085568056434403,,0.543092657357435,,0.5017363333333333,,3100.0,,105.0,,3100.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,1200,plateau,1,1,[],0.500093,,0.0,,0.5002933333333333,,0.0,,0.7029347719298247,,0.7903896666666667,,0.1548,,0.6146749910527192,,0.29706522807017544,,0.40587071239440664,,1.4060210566896343,,0.5418839644504413,,0.5001336666666667,,3200.0,,200.0,,3200.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,1500,plateau,1,1,[],0.500462,,0.0,,0.5010333333333333,,0.0,,0.6905115087719298,,0.7807040000000001,,0.13355333333333333,,0.6383893267340163,,0.30948849122807015,,0.3810241842740332,,1.3817292225735514,,0.5269892669455734,,0.5024993333333333,,3200.0,,200.0,,3200.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,1800,plateau,1,1,[],0.5000453333333332,,0.0,,0.5004866666666667,,0.0,,0.6657539649122806,,0.761196,,0.09344,,0.6853330373868683,,0.33424603508771933,,0.3315089450101134,,1.3315813809735009,,0.4990547104945166,,0.5005273333333333,,3200.0,,200.0,,3200.0,,20.0,,5000.0,
