depth_mid,easy,fraction_replicas_rate_positive,hard,ratio_growth_rate_max,ratio_growth_rate_median,ratio_growth_rate_min,threshold_high,threshold_low
0.4166749439387326,parity2,0.0,mux3,-470.06941273574796,-471.6666336315744,-472.9332691066971,0.7,0.62084430570201
0.5366749439387303,parity2,0.0,mux3,-223.83212376458863,-243.1043850544797,-246.73448535618567,0.62084430570201,0.55063950274659
0.6566749439387318,parity2,0.0,mux3,-83.95733932877586,-99.37215590111964,-142.90401917848016,0.55063950274659,0.48837342824972
0.7766749439387325,parity2,0.625,mux3,5.72817921217678,4.562982840201137,-12.52863486403073,0.48837342824972,0.4331483742643
0.8966749439387288,parity2,1.0,mux3,74.10278878477978,70.9702199704665,66.84985184291465,0.4331483742643,0.38416814526582
1.0166749439387306,parity2,1.0,mux3,45.04358272376245,42.12967232587265,40.82158178074896,0.38416814526582,0.34072657917198
1.1366749439387256,parity2,1.0,mux3,29.53017486216346,28.606889407407586,27.12229296318201,0.34072657917198,0.30219736640036
1.2566749439387224,parity2,1.0,mux3,20.634681812943086,19.859798411034646,19.11329500253551,0.30219736640036,0.26802502018258
1.376674943938724,parity2,1.0,mux3,15.78273251558447,14.881936644167627,13.421597702025036,0.26802502018258,0.23771686795146
1.4966749439387304,parity2,1.0,mux3,12.55665277474286,11.300880577791709,10.60867240045419,0.23771686795146,0.21083594833854
1.6166749439387231,parity2,1.0,mux3,10.75715874628387,9.782887052475576,8.283322631607229,0.21083594833854,0.1869947113761
1.7366749439387053,parity2,1.0,mux3,7.665361389298873,7.450874379821429,6.687165958414883,0.1869947113761,0.16584943107749
1.856674943938702,parity2,1.0,mux3,6.930379400438542,6.264915054088898,5.392276084084948,0.16584943107749,0.14709524984054
1.9766749439387048,parity2,1.0,mux3,6.591395375302989,5.342294639595573,4.546965714214137,0.14709524984054,0.13046178322759
2.0966749439387233,parity2,1.0,mux3,5.207287412518927,4.249334546102972,2.801847804842157,0.13046178322759,0.11570922175511
2.216674943938711,parity2,1.0,mux3,4.655639054074507,3.4274661800564745,2.5312242491359163,0.11570922175511,0.10262487349125
2.3366749439386982,parity2,1.0,mux3,3.904382619113326,2.7898732449394683,1.9331105493175282,0.10262487349125,0.0910200976149
2.4566749439387454,parity2,0.875,mux3,2.370877753869251,1.0845179666653917,-0.3420318080839952,0.0910200976149,0.08072758472664
2.576674943938729,parity2,0.875,mux3,1.6330350073947233,1.0195266431963006,-0.03203306729965346,0.08072758472664,0.07159894470088
2.6966749439386963,parity2,0.75,mux3,1.0863503221881206,0.5160454843307115,-0.5943441898426967,0.07159894470088,0.06350256730259
2.8166749439387466,parity2,0.375,mux3,0.5241455387492885,-0.4215204085897514,-1.8577425824075962,0.06350256730259,0.05632172472467
2.9366749439387587,parity2,0.125,mux3,0.7512133775854929,-0.839624426773204,-2.1589678879278766,0.05632172472467,0.04995288868947
3.056674943938718,parity2,0.0,mux3,-0.3156271662306712,-1.9595112607129428,-2.4518854575355733,0.04995288868947,0.04430423785175
3.1766749439387616,parity2,0.0,mux3,-0.8154588561250362,-2.3322356741897177,-3.253099887741845,0.04430423785175,0.03929433398389
3.2966749439388465,parity2,0.0,mux3,-1.976887892297655,-3.190447701012763,-4.0151342401661125,0.03929433398389,0.0348509478575
3.4166749439388817,parity2,0.0,mux3,-2.204905411413456,-3.0657768657967823,-4.425347581039328,0.0348509478575,0.03091001789378
3.5366749439388308,parity2,0.0,mux3,-3.323866788758516,-4.038596080707676,-4.617348690684908,0.03091001789378,0.02741472656929
3.656674943938688,parity2,0.0,mux3,-3.4182619758892123,-4.610661245439877,-5.980895978949107,0.02741472656929,0.02431468126132
3.776674943938572,parity2,0.0,mux3,-3.4101823415295436,-5.098050120550853,-5.690122726982037,0.02431468126132,0.02156518772293
3.896674943938759,parity2,0.0,mux3,-3.6231530169153627,-4.550380585888622,-5.967672665751419,0.02156518772293,0.0191266057131
4.016674943938969,parity2,0.0,mux3,-4.770238673958876,-5.233823022882483,-6.25863140031653,0.0191266057131,0.01696377749198
4.136674943938941,parity2,0.0,mux3,-4.062834886530197,-6.388358653213819,-7.189298774590928,0.01696377749198,0.01504552094156
