depth,easy,easy_transition,easy_transition_brackets,fraction_replicas_ratio_positive,hard,hard_transition,hard_transition_brackets,log_volume_ratio_easy_over_hard_median,log_volume_ratio_max,log_volume_ratio_min,threshold
2.8766749439387804,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-69.16602959287331,-64.61097874393374,-77.86824537447472,0.05632172472467
2.996674943938737,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-69.16597800393177,-64.7224461789321,-77.95728052729078,0.04995288868947
3.1166749439386985,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-69.38501474819302,-65.01620868377341,-78.15962778022032,0.04430423785175
3.2366749439388243,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-69.55325560346444,-65.35109976516969,-78.40451146526243,0.03929433398389
3.356674943938869,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-69.89854757822445,-65.8329158739898,-78.75466906618522,0.0348509478575
3.476674943938894,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-70.24774563867413,-66.36395758371464,-79.17718312405316,0.03091001789378
3.596674943938767,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-70.78782370407782,-66.7707342385246,-79.67950673973701,0.02741472656929
3.7166749439386084,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-71.276706357112,-67.47745419381397,-80.39721425720995,0.02431468126132
3.8366749439385353,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-71.75896765267248,-68.14568551260777,-81.07742853036507,0.02156518772293
3.956674943938983,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-72.32320551058928,-68.76103448410595,-81.59992189624336,0.0191266057131
4.076674943938955,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-72.96301803633952,-69.51207025214376,-82.19216533325493,0.01696377749198
4.196674943938928,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-73.6988045521332,-70.28918448437867,-83.05488118620565,0.01504552094156
4.316674943938593,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-74.40525074539664,-71.17499369782911,-83.97846360886604,0.01334418000413
