acceptance_max,acceptance_mean,acceptance_min,elapsed_seconds,level,reached_requested,requested_threshold,survival_max,survival_mean,survival_min,threshold
0.9931233723958334,0.9822608100043402,0.9697469075520834,1.6065954305231571,1,False,0.68,0.6298828125,0.5450998942057291,0.5,0.6977837681770325
0.9842529296875,0.9614331987169055,0.91815185546875,3.0162019580602646,2,False,0.68,0.94580078125,0.7498881022135416,0.5,0.6946749687194824
0.9725545247395834,0.9300406773885092,0.82794189453125,4.42678214982152,3,False,0.68,0.9697265625,0.8286412556966146,0.5,0.6932059526443481
0.9565836588541666,0.885136604309082,0.7226969401041666,5.894147276878357,4,False,0.68,0.97607421875,0.8645909627278646,0.5,0.6922420263290405
0.9463094075520834,0.8535162607828776,0.664306640625,7.3432281874120235,5,False,0.68,0.9833984375,0.8759791056315104,0.50048828125,0.6914393901824951
0.9477742513020834,0.8283702002631294,0.6385091145833334,8.797203671187162,6,False,0.68,0.98095703125,0.8783467610677084,0.5,0.6907143592834473
0.9458821614583334,0.8036776648627386,0.55010986328125,10.231793701648712,7,False,0.68,0.982421875,0.8816350301106771,0.5,0.6900519728660583
0.9439493815104166,0.7913441128200954,0.4586181640625,11.686394974589348,8,False,0.68,0.9853515625,0.8847096761067709,0.5,0.6894400119781494
0.94403076171875,0.7836168077256945,0.39190673828125,13.123808920383453,9,False,0.68,0.9833984375,0.8832778930664062,0.50048828125,0.688847541809082
0.9406941731770834,0.7754759258694119,0.3498942057291667,14.5833107419312,10,False,0.68,0.98291015625,0.8841094970703125,0.5,0.6882823705673218
0.94091796875,0.7681832843356663,0.3146565755208333,16.933368131518364,11,False,0.68,0.98583984375,0.88104248046875,0.5,0.6877177953720093
0.9380289713541666,0.7606825298733183,0.2980753580729167,18.34083967655897,12,False,0.68,0.98388671875,0.8816197713216146,0.50048828125,0.6871817111968994
0.9399617513020834,0.75390625,0.2868855794270833,19.753923311829567,13,False,0.68,0.986328125,0.8829142252604166,0.5,0.6866632699966431
0.938720703125,0.7477828131781683,0.2737223307291667,21.16009396314621,14,False,0.68,0.986328125,0.8843460083007812,0.50048828125,0.6861656904220581
