copy_x1_similarity_mean,copy_x2_similarity_mean,dataset_count,log_volume_median_over_datasets,parity_alt_similarity_mean,sampling_protocol,target_function_mass_mean,target_name,threshold,train_hard_exact_mass_mean,unseen_agreement_mean,unseen_target_accuracy_mean
0.5052139759063721,0.503997802734375,8,-2.2248524720488825,0.5010229349136353,uniform_random,0.0,parity2,0.68,0.0,0.8921763485129742,0.48839827946254183
0.5341416597366333,0.5381349325180054,8,-1.7295889017846657,0.4992474317550659,uniform_random,0.0,mux3,0.68,0.0,0.7827478523688336,0.5237673350742885
0.5176198482513428,0.49945342540740967,8,-5.016162602416744,0.4996436834335327,cell_balanced,0.0,parity2,0.68,0.0,0.6297059999905609,0.4914211545671735
0.5843715071678162,0.5874608159065247,8,-2.9552762386820626,0.49808281660079956,cell_balanced,0.0,mux3,0.68,0.0,0.5462068607922134,0.5826307024274553
0.5098245143890381,0.49680089950561523,8,-6.829567926709571,0.5009797811508179,conflict_enriched,0.0,parity2,0.68,0.0,0.6440883968986082,0.4883035932268415
0.5982818007469177,0.6064441800117493,8,-4.697295867657031,0.49758511781692505,conflict_enriched,0.0,mux3,0.68,0.0,0.5905095604294817,0.6029574530465263
0.5334709286689758,0.5196458697319031,8,-35.17813356611985,0.5074455142021179,uniform_random,0.0,parity2,0.6,0.0,0.8648055721721959,0.4987824303763253
0.6014341115951538,0.6131905317306519,8,-16.862957886910415,0.500356912612915,uniform_random,0.0,mux3,0.6,1.52587890625e-05,0.8436598486590514,0.5902298518589565
0.5600894689559937,0.504603385925293,8,-44.9845553236349,0.49977338314056396,cell_balanced,0.0,parity2,0.6,1.52587890625e-05,0.8266516770743484,0.5274680001395089
0.7102155089378357,0.7204028964042664,8,-22.504870656654887,0.5006263852119446,cell_balanced,0.0,mux3,0.6,1.52587890625e-05,0.7607141063204863,0.7077201434544154
0.5495890378952026,0.48923254013061523,8,-67.07757296135262,0.5177288055419922,conflict_enriched,0.0,parity2,0.6,0.0,0.8129261718873526,0.5335547583443778
0.7059233784675598,0.7079992890357971,8,-40.6489492350061,0.4977063536643982,conflict_enriched,0.0,mux3,0.6,0.0,0.8456873910709455,0.7090017454964774
0.5446993112564087,0.5144702196121216,8,-101.37581902871949,0.5072124004364014,uniform_random,0.0,parity2,0.5,0.0,0.893448746922344,0.5416138512747628
0.6894216537475586,0.6927303075790405,8,-42.9957739690995,0.4974675178527832,uniform_random,0.0,mux3,0.5,3.0517578125e-05,0.848798408005141,0.6747796194893974
0.5562642216682434,0.5044082999229431,8,-116.56701474233338,0.5031605362892151,cell_balanced,0.0009918212890625,parity2,0.5,0.0412445068359375,0.8650175059063835,0.6227476937430246
0.7261495590209961,0.7468559741973877,8,-54.69067171399179,0.49995577335357666,cell_balanced,0.0,mux3,0.5,0.0,0.8466420269152217,0.7271356582641602
0.5363433361053467,0.4969310760498047,8,-132.39072147053287,0.5493080615997314,conflict_enriched,0.0,parity2,0.5,0.0042724609375,0.80789105089688,0.648005621773856
0.7141138315200806,0.7456352710723877,8,-103.72506683225131,0.4500807523727417,conflict_enriched,0.0,mux3,0.5,0.0005645751953125,0.892132171142608,0.774158273424421
0.5414313673973083,0.5170955061912537,8,-169.42192883810964,0.49706119298934937,uniform_random,0.0,parity2,0.4,0.0198974609375,0.8834969765293563,0.6317767415727887
0.7255617380142212,0.7293083667755127,8,-77.56440506176403,0.4922053813934326,uniform_random,0.0,mux3,0.4,0.0001678466796875,0.8968339940409941,0.7149069649832589
0.5472182035446167,0.5079970359802246,8,-182.47591816731725,0.5049986839294434,cell_balanced,0.0194091796875,parity2,0.4,0.2372589111328125,0.8861255995834088,0.7151185444423132
0.7224302887916565,0.7627248167991638,8,-104.1172011578511,0.49597984552383423,cell_balanced,0.0,mux3,0.4,0.0001373291015625,0.8989307986724084,0.7332158088684082
0.4845654368400574,0.4844462275505066,8,-192.3177418531323,0.554004967212677,conflict_enriched,0.000701904296875,parity2,0.4,0.2687530517578125,0.8419078506372821,0.7700601305280413
0.7278527021408081,0.747422456741333,8,-162.4999320976065,0.3750174045562744,conflict_enriched,0.0055389404296875,mux3,0.4,0.1116943359375,0.909610280738355,0.8541064262390137
0.5371549129486084,0.509344220161438,8,-236.31268792474526,0.4852217435836792,uniform_random,4.57763671875e-05,parity2,0.3,0.414154052734375,0.885364801221969,0.7455710002354213
0.7323166728019714,0.7461661696434021,8,-126.01220554083508,0.47925251722335815,uniform_random,0.0,mux3,0.3,0.0032501220703125,0.9300146566131824,0.7367983545575822
0.5283907651901245,0.5069634914398193,8,-247.88707405228885,0.5030612945556641,cell_balanced,0.0699310302734375,parity2,0.3,0.5935516357421875,0.9011005568266397,0.8053150177001953
0.7229869961738586,0.7682315707206726,8,-175.9970398887545,0.4385388493537903,cell_balanced,0.0,mux3,0.3,0.0669403076171875,0.9080968666862016,0.7900902884347099
0.4686606526374817,0.4786913990974426,8,-253.8691359433035,0.5448983311653137,conflict_enriched,0.0121307373046875,parity2,0.3,0.8683624267578125,0.8920503276633538,0.8688955988202776
0.7430200576782227,0.7430764436721802,8,-223.95817629862682,0.3160130977630615,conflict_enriched,0.0649871826171875,mux3,0.3,0.658294677734375,0.9376564284779952,0.9213776588439941
0.5300774574279785,0.5032886266708374,8,-311.84154548735233,0.485204815864563,uniform_random,0.001129150390625,parity2,0.2,0.9419403076171875,0.9086297912618955,0.838238171168736
0.7297790050506592,0.7559256553649902,8,-208.0194944464949,0.45045995712280273,uniform_random,0.0,mux3,0.2,0.1489715576171875,0.942894560234671,0.7673859596252441
0.5188449025154114,0.5050581097602844,8,-322.5341389255557,0.5018349289894104,cell_balanced,0.1160888671875,parity2,0.2,0.9704742431640625,0.9250541885081002,0.8813774926321847
0.7345060110092163,0.7585886716842651,8,-253.5559409822754,0.36689746379852295,cell_balanced,0.002899169921875,mux3,0.2,0.6660003662109375,0.9287637915163015,0.8636642183576311
0.47277647256851196,0.48220592737197876,8,-326.8027732485805,0.5291408896446228,conflict_enriched,0.07421875,parity2,0.2,0.99847412109375,0.9365127110765787,0.9310218947274345
0.7491241693496704,0.7439157962799072,8,-297.0893981666247,0.2791498899459839,conflict_enriched,0.203338623046875,mux3,0.2,0.9866180419921875,0.966318237447915,0.965313570840018
0.5142329931259155,0.5006598234176636,8,-421.2923616926205,0.4894289970397949,uniform_random,0.0376739501953125,parity2,0.1,1.0,0.941224939267911,0.917128426688058
0.7300966382026672,0.7579812407493591,8,-321.07960613184855,0.3988768458366394,uniform_random,0.0,mux3,0.1,0.98968505859375,0.9478311042191969,0.8214136532374792
0.5073406100273132,0.5035021901130676,8,-431.2376609483199,0.500857412815094,cell_balanced,0.2089385986328125,parity2,0.1,1.0,0.9540598024268053,0.9439161164419992
0.7448539137840271,0.7505554556846619,8,-360.17281460754293,0.31997400522232056,cell_balanced,0.1247406005859375,mux3,0.1,1.0,0.956594068961297,0.9169813564845494
0.48408812284469604,0.48979586362838745,8,-433.8033515631525,0.5157453417778015,conflict_enriched,0.2596282958984375,parity2,0.1,1.0,0.9674260748914403,0.9687132835388184
0.7503459453582764,0.7467812299728394,8,-402.9503553660978,0.25996100902557373,conflict_enriched,0.4646759033203125,mux3,0.1,1.0,0.9863020772918653,0.9884176254272461
0.5055924654006958,0.5005307197570801,8,-518.219306280334,0.49146294593811035,uniform_random,0.1183013916015625,parity2,0.05,1.0,0.9601245370045304,0.9504769189017159
0.735215961933136,0.7553337216377258,8,-417.232921765666,0.36970943212509155,uniform_random,0.0,mux3,0.05,1.0,0.9545652325100605,0.8569498743329729
0.5030699372291565,0.5023202300071716,8,-527.9222831292063,0.5003519654273987,cell_balanced,0.3391876220703125,parity2,0.05,1.0,0.9697817408353854,0.9673168318612235
0.7503275871276855,0.7469885349273682,8,-452.6481406229568,0.30299580097198486,cell_balanced,0.2363433837890625,mux3,0.05,1.0,0.9653186481291338,0.9377207074846541
0.48908621072769165,0.4930204749107361,8,-529.4116398594703,0.5098163485527039,conflict_enriched,0.421234130859375,parity2,0.05,1.0,0.9795696508926859,0.9821713992527553
0.7507517337799072,0.7478331327438354,8,-495.53663344171787,0.25486743450164795,conflict_enriched,0.648101806640625,mux3,0.05,1.0,0.9930900290470095,0.9944041115897043
0.5028582811355591,0.5006395578384399,8,-585.2240661078603,0.4921689033508301,uniform_random,0.2168731689453125,parity2,0.03,1.0,0.9688317425810573,0.9624372209821428
0.7386685609817505,0.7539138793945312,8,-481.7974113751939,0.35573410987854004,uniform_random,3.0517578125e-05,mux3,0.03,1.0,0.957579362549663,0.8744656699044364
