cohort_copy_x1_full_agreement_mean,cohort_copy_x2_full_agreement_mean,conflict_fraction_mean,copy_x1_accuracy_mean,copy_x2_accuracy_mean,dataset_count,maximum_cell_count_mean,minimum_cell_count_mean,modal_copy_x1_full_agreement_mean,modal_copy_x2_full_agreement_mean,n,optimizer_name,recovery_rate,sampling_protocol,semantic_repetitions,target_mass_mean,target_name,unseen_agreement_mean,unseen_target_accuracy_mean
0.48786258697509766,0.49706363677978516,0.49951171875,0.495849609375,0.509033203125,128,11.1015625,5.2421875,0.4879150390625,0.5001220703125,32,adamw,0.0,uniform_random,8.0,0.010498046875,parity2,0.9185624364334317,0.7782189505440847
0.49613706527217744,0.49416591275122856,0.4970703125,0.49375,0.5052734375,128,13.3125,6.84375,0.4949951171875,0.49847412109375,40,adamw,0.0,uniform_random,10.0,0.10318485383064516,parity2,0.9415513537310833,0.8874705689497462
0.49640717044953375,0.49955626456968244,0.50048828125,0.4921875,0.50244140625,128,15.453125,8.71875,0.4979248046875,0.50164794921875,48,adamw,0.0703125,uniform_random,12.0,0.3002220892137097,parity2,0.966949003486223,0.94742676992866
0.4994821548461914,0.5003194808959961,0.5013950892857143,0.49246651785714285,0.5047433035714286,128,17.734375,10.5546875,0.500335693359375,0.500640869140625,56,adamw,0.375,uniform_random,14.0,0.64697265625,parity2,0.9876082881804435,0.983992919921875
0.4998188018798828,0.5005760192871094,0.500244140625,0.4913330078125,0.5052490234375,128,19.796875,12.4296875,0.500457763671875,0.500701904296875,64,adamw,0.75,uniform_random,16.0,0.845947265625,parity2,0.9958279517389113,0.9957555135091145
0.5001306533813477,0.5003499984741211,0.5017361111111112,0.49153645833333326,0.5034722222222222,128,21.8125,14.2890625,0.500244140625,0.5001220703125,72,adamw,0.890625,uniform_random,18.0,0.947021484375,parity2,0.9987446275365971,0.9989796514096467
0.5000743865966797,0.5001239776611328,0.50107421875,0.49375,0.50419921875,128,23.8125,16.2890625,0.5,0.5,80,adamw,0.9765625,uniform_random,20.0,0.990234375,parity2,0.999691423432918,0.9997891512784092
0.5000238418579102,0.500056266784668,0.5023082386363638,0.49742542613636365,0.5027521306818181,128,25.875,18.140625,0.5,0.5,88,adamw,0.9921875,uniform_random,22.0,0.995361328125,parity2,0.999855709515409,0.9999026343936013
0.5000114440917969,0.5000171661376953,0.5008951822916666,0.4976399739583333,0.5027669270833333,128,28.0703125,20.0390625,0.5,0.5,96,adamw,0.9921875,uniform_random,24.0,0.99755859375,parity2,0.999946052797379,0.999969482421875
0.5000009536743164,0.5000009536743164,0.5013521634615383,0.4970703125,0.5017277644230769,128,30.2421875,21.8203125,0.5,0.5,104,adamw,1.0,uniform_random,26.0,0.999755859375,parity2,0.9999967876233553,0.9999983938116777
